Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Would you like to participate in this survey? Please select yes or no and click next.,"Which of the following best describes your current role in your school district or charter school system (referred to as a local education agency, or LEA)?Please select only one answer.","In total, how many years have you served in this role for this LEA? Please provide a number in the box below.","Including all schools, approximately, how many K-12 students were enrolled in your LEA in school year 2018-19?Please select only one answer.",How many school board meetings have you attended during the 2018-19 school year (including only full school board meetings that are open to the public)?Please select only one answer.,"Thinking about the school board meetings in which you have participated this school year (2018–19), how often did your school board focus on the following topic areas or activities?Please select one answer in each row.",,,,,,,Has your school board developed and adopted a vision for the LEA?Please select only one answer.,Has your school board adopted goals related to student outcomes that are currently being used?Please select only one answer.,How many goals related to student outcomes does your school board have in place for the 2018–19 school year? Please provide a number in the box below.,"In the text boxes below, please provide examples of two of the goals related to student outcomes that the school board has in place for the 2018-19 school year.",,"Thinking about the total amount of time spent in all Board-authorized public meetings together in 2018-19, approximately what percentage of time has been spent setting or monitoring goals related to student outcomes?Please select only one answer.",What is your assessment of the amount of time your school board has spent setting and/or monitoring goals related to student outcomes in 2018-19?Please select only one answer.,"In 2018-19, to what extent is the superintendent’s performance evaluation based on the LEA’s progress on achieving student outcome goals?","In 2018-19, to what extent have the following groups of stakeholders provided input to the school board regarding development of goals or vision?",,,,,,,,,To what extent do you agree or disagree with the following statements regarding school board discussions?Please select one answer in each row.,,,How often does your school board engage in the following monitoring activities?Please select one answer in each row.,,,To what extent do you agree or disagree with the following statements about operating procedures of the school board and superintendent?Please select one answer in each row.,,,,,,,Have you completed the Lone Star Governance (LSG) workshop training?Please select only one answer.,How many school board members from your LEA have received training on LSG?Please select only one answer. ,To what extent do you agree or disagree with the following statements regarding LSG?Please select one answer in each row.,,,,,,,
,,,,,Response,Response,Open-Ended Response,Response,Response,a. Discuss or decide issues related to school facilities,b. Discuss or decide issues related to LEA budget or finances,"c. Discuss or decide issues related to academics (curriculum, program offerings, etc.)",d. Discuss or decide issues related to staff recruitment and retention,e. Review or adopt LEA personnel policies,"f. Track, monitor, or evaluate progress toward meeting the LEA’s student outcome goals",g. Hear public testimony,Response,Response,Open-Ended Response,Example One:,Example Two:,Response,Response,Response,a. School Administrators,b. LEA Administrators,c. Teachers,d. Instructional Coaches,e. Parents,f. Community Members,g. Students,h. Other (please specify in box below),"If selected ""Other,"" please specify:",a. Our school board meetings encourage honest discussion among members.,b. Our discussions are respectful of differences of opinion.,"c. In public meetings, community members participate in board meetings in constructive ways.",a. Assess progress towards meeting your LEA’s goals related to student outcomes,b. Assess performance evaluation criteria or metrics for the LEA’s superintendent,c. Distribute progress reports related to student outcomes reported to the Board,a. The Board fosters two-way communication with students about its vision.,b. The Board fosters two-way communication with parents and community members about its vision.,c. The relationship between the Board and Superintendent is collaborative.,d. The Board delegates to the Superintendent operational authority to accomplish the vision and student outcome goals.,e. It is appropriate for Board Members to give operational advice or instructions to staff members.,f. The Board maintains local policies beyond those required by law.,"g. Some of our Board Member(s) may prioritize loyalty to staff or vendors over community, the vision, and improving student outcomes.",Response,Response,a. The LSG workshop improved school board effectiveness.,b. The LSG workshop was engaging.,c. The LSG workshop encouraged our school board to think critically about our own activities and focus.,d. The LSG workshop was a good use of my time.,e. I have a strong understanding of the LSG framework.,f. LSG has increased the amount of time our school board focuses on student outcomes.,g. My LEA’s LSG coach helped our school board implement the components of Lone Star Governance.,h. I would recommend that other school board members participate in LSG.
10820526455,238241410,6/24/2019 23:32,6/24/2019 23:37,,"No, I do not wish to participate in the survey.",School Board Member,13,,More than 12,In every meeting,In every meeting,In every meeting,In every meeting,In a few meetings,In every meeting,In a few meetings,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10818286537,236390701,6/24/2019 5:58,6/24/2019 6:06,,"Yes, I agree to participate.",School Board Member,.5 years,"5,000-14,999",More than 12,In most meetings,In most meetings,In every meeting,In most meetings,In a few meetings,In most meetings,In most meetings,Yes,Yes,5 plus,starr test,graduation,26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Moderate Input,Limited Input,Limited Input,Limited Input,No Input,No Input,No Input,,,Agree,Agree,Agree,Quarterly,Quarterly,Monthly,Agree,Agree,Agree,Agree,Strongly Disagree,Not Applicable,Strongly Disagree,Yes,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
10817152426,236403458,6/23/2019 11:13,6/23/2019 11:16,,"Yes, I agree to participate.",School Board Member,21,"1,000-4,999",,In most meetings,In a few meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In every meeting,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10816558822,236390701,6/22/2019 23:30,6/22/2019 23:32,,"Yes, I agree to participate.",Superintendent,1yr,"5,000-14,999",More than 12,In every meeting,In every meeting,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In every meeting,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10816081315,236401834,6/22/2019 12:38,6/22/2019 14:18,,"Yes, I agree to participate.",School Board Member,2,"15,000-49,999",More than 12,In most meetings,In every meeting,In every meeting,In a few meetings,In a few meetings,In most meetings,In most meetings,Yes,Yes,,"Student programs, and policies which are supported by actively involved parents and community members; ROAR, STEM, Career Certifications, etc.","A  progressive curriculum that meets the academic and career needs of all students; Lamar Institute of Technology, Lamar University, Taylor Career Center, and Early College High School, etc.",51-75%,About the right amount of time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,Substantial Input,Educational Partners,Strongly Agree,Strongly Agree,Strongly Agree,Monthly,Monthly,Bi-Annually,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Not Applicable,Not Applicable,Yes,I don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10816042511,238232114,6/22/2019 11:59,6/22/2019 12:09,,"Yes, I agree to participate.",School Board Member,1,"15,000-49,999",More than 12,In a few meetings,In most meetings,In most meetings,In a few meetings,,In most meetings,In most meetings,,Yes,5,Specific percentage increase in reading ,Specific percentage increase in writing ,0-25%,Not enough time,"Mostly, but other measures are also considered.",Limited Input,,Limited Input,No Input,No Input,No Input,No Input,,,Agree,Agree,Agree,Don't Know,Annually,Don't Know,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Yes,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
10815725268,236394063,6/22/2019 6:57,6/22/2019 7:00,,"Yes, I agree to participate.",School Board Member,3,"5,000-14,999",10,In every meeting,In a few meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In most meetings,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10815227215,238232114,6/21/2019 21:44,6/21/2019 21:58,,"Yes, I agree to participate.",School Board Member,5,"15,000-49,999",More than 12,In every meeting,In most meetings,In every meeting,In a few meetings,In a few meetings,In most meetings,In every meeting,Yes,Yes,5,Increase CMMR rates by a certain percent.,Increase TAPR numbers by a certain percent.,0-25%,About the right amount of time,"Mostly, but other measures are also considered.",Moderate Input,Substantial Input,Moderate Input,Moderate Input,Limited Input,Limited Input,Limited Input,No Input,,Strongly Agree,Strongly Agree,Agree,Quarterly,Bi-Annually,Quarterly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,Some,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree
10815200621,236394773,6/21/2019 21:21,6/21/2019 21:24,,"Yes, I agree to participate.",School Board Member,2 years ,"Less than 1,000",5,In every meeting,In every meeting,In most meetings,In every meeting,In a few meetings,In every meeting,In a few meetings,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
