Collector_ID,Title,Date Created
236299068,Nacogdoches ISD,6/3/2019 16:14
236387030,Waco ISD,6/4/2019 10:09
236387796,Wichita Falls ISD,6/4/2019 10:17
236387974,Midland ISD,6/4/2019 10:19
236388155,Marathon ISD,6/4/2019 10:21
236388803,Tornillo ISD,6/4/2019 10:27
236389336,El Paso ISD,6/4/2019 10:32
236389469,Brazosport ISD,6/4/2019 10:34
236389955,Dallas ISD,6/4/2019 10:39
236390093,Hearne ISD,6/4/2019 10:40
236390229,Houston ISD,6/4/2019 10:41
236390593,Fort Worth ISD,6/4/2019 10:45
236390701,South San Antonio ISD,6/4/2019 10:46
236390868,Corpus Christi ISD,6/4/2019 10:48
236392184,Crystal City ISD,6/4/2019 11:00
236392386,Marlin ISD,6/4/2019 11:02
236392571,Mullin ISD,6/4/2019 11:04
236392697,Marshall ISD,6/4/2019 11:05
236392998,San Augustine ISD,6/4/2019 11:08
236393203,Shepherd ISD,6/4/2019 11:10
236393400,Southside ISD,6/4/2019 11:11
236393604,Edgewood ISD,6/4/2019 11:13
236393788,New Frontiers Charter School,6/4/2019 11:15
236394063,Galveston ISD,6/4/2019 11:18
236394399,Tekoa Charter School,6/4/2019 11:21
236394578,Runge ISD,6/4/2019 11:23
236394773,Buckholts ISD,6/4/2019 11:25
236397971,Ranger ISD,6/4/2019 11:55
236398157,Snyder ISD,6/4/2019 11:57
236399684,Roscoe Collegiate ISD,6/4/2019 12:09
236399888,Big Spring ISD,6/4/2019 12:11
236400038,Ector County ISD,6/4/2019 12:12
236400211,Rochelle ISD,6/4/2019 12:14
236400356,Brady ISD,6/4/2019 12:15
236400914,Burkeville ISD,6/4/2019 12:19
236401226,Rosebud-Lott ISD,6/4/2019 12:22
236401385,Manor ISD,6/4/2019 12:23
236401650,Luling ISD,6/4/2019 12:26
236401834,Beaumont ISD,6/4/2019 12:27
236402532,Royal ISD,6/4/2019 12:33
236402708,Dilley ISD,6/4/2019 12:35
236402841,Dell City ISD,6/4/2019 12:36
236403076,AW Brown Leadership Academy,6/4/2019 12:38
236403260,Donna ISD,6/4/2019 12:40
236403458,Natalia ISD,6/4/2019 12:41
236403722,McDade ISD,6/4/2019 12:43
236404003,Tulia iSD,6/4/2019 12:46
236404294,Perryton ISD,6/4/2019 12:48
236404774,Hurst-Euless-Bedford ISD,6/4/2019 12:52
238024403,Sierra Blanca ISD,6/17/2019 10:42
238025682,Pharr San Juan ISD,6/17/2019 10:55
238025813,Tyler ISD,6/17/2019 10:56
238186035,School of Excellence in Education,6/18/2019 9:35
238230716,Canutillo ISD,6/18/2019 14:44
238232114,Comal ISD,6/18/2019 14:51
238233579,San Antonio ISD,6/18/2019 14:59
238241410,Southwest ISD,6/18/2019 15:41
238382472,Harlandale ISD,6/19/2019 11:33
