Name,Type,City,Address,NightActivityTier,CrowdProfile,PeakHours,Music_Scene,Notes
Piazza del Duomo,Piazza,Catania,"Piazza del Duomo, Catania, Italy",Very High,Mixed,20:00–00:30 (Thu–Sun),Mixed,Historic heart; evening passeggiata; watch for petty theft.
Piazza Università,Piazza,Catania,"Piazza Università, Catania, Italy",High,Students/Mixed,20:00–01:00 (Thu–Sat),Mixed,Studenty vibe; street performers on weekends.
Piazza Stesicoro & Via Etnea stretch,Boulevard,Catania,"Piazza Stesicoro, Catania, Italy",Very High,Mixed,19:30–01:00 (Thu–Sun),Mixed,Pedestrian boulevard; cafés/bars; busiest during events.
Via Santa Filomena,Street,Catania,"Via Santa Filomena, Catania, Italy",High,Mixed,20:00–00:30 (Daily),Dining/Cocktails,Cluster of trendy bistros and tapas-style spots; narrow street.
Via Gemmellaro bar strip,Street,Catania,"Via Gemmellaro, Catania, Italy",High,Locals/Mixed,21:00–01:30 (Fri–Sat),Bars/DJs,Compact bar street near Stesicoro; late on weekends.
Piazza Teatro Massimo (Bellini area),Piazza,Catania,"Piazza Vincenzo Bellini, Catania, Italy",High,Mixed,20:00–00:30 (Thu–Sun),Cocktail/Lounge,Opera house square with cocktail bars; elegant crowd.
Via Plebiscito street‑food corridor,Street,Catania,"Via Plebiscito, Catania, Italy",Medium,Locals,20:00–00:00 (Daily),Street Food,"Grills/rosticcerie; lively, more food‑forward than clubby."
San Berillo lanes,District,Catania,"San Berillo, Catania, Italy",Medium,Mixed,21:00–00:30 (Thu–Sat),Alt/Art Bars,Regenerated pockets with bars/art spaces; stay on main‑lit lanes.
Lungomare di Catania (Viale Ruggero di Lauria),Promenade,Catania,"Viale Ruggero di Lauria, Catania, Italy",High,Locals/Mixed,"19:30–23:30 (Daily, warm months)",Promenade,"Seafront stroll, kiosks, gelato; sunset crowds."
Ognina–Scogliera viewpoints,Promenade,Catania,"Ognina, Catania, Italy",Medium,Locals,19:00–23:00 (Spring–Fall),Promenade,Rocky lava coast lookouts; popular on warm nights.
La Playa beach strip (Viale Kennedy),Beachfront,Catania,"Viale Kennedy, Catania, Italy",High,Mixed,"21:00–01:00 (Summer, Fri–Sun)",Beach Clubs,Seasonal nightlife zone; driving/parking required.
Aci Trezza – Lungomare dei Ciclopi,Promenade,Aci Trezza,"Lungomare dei Ciclopi, Aci Trezza, Italy",High,Mixed,20:00–00:30 (Spring–Fall),Promenade/Bars,Harbor & islets views; aperitivo bars fill at sunset.
Mercati Generali,Club,Catania,"Strada Statale 417, Catania, Italy",Very High (events),Mixed,23:30–04:30 (event nights),Electronic/Indie,Iconic warehouse-style venue; check schedule & transport.
MA Catania (MA Music Action),Club/Live,Catania,"Via Vela 6, 95121 Catania CT, Italy",High,Mixed,22:00–03:00 (Fri–Sat),Live + DJs,Multi-room venue for live shows & late DJs; central.
Qubba,Club/Events,Misterbianco,"Contrada Cubba Marletta, Misterbianco CT, Italy",High (weekends),Mixed,23:00–04:00 (Sat),Dance/Events,Large events space just outside Catania; late nights.
Morgana Lounge Bar,Lounge/Club,Taormina,"Vico Spuches 1, 98039 Taormina ME, Italy",High (seasonal),Mixed,"22:00–02:00 (Thu–Sun, summer)",Cocktail/House,Chic cocktail club with courtyard; reservations recommended.
