DISTRICT,DISTNAME,treat,DPETHISP,DPETBLAP,DPETDISC,DPETECOP,DDALLS,TYPE_DESCRIP,MATCH_NUM,LSG_1516,LSG_1617,LSG_1718
57816,A W BROWN LEADERSHIP ACADEMY,1,4,95.3,0,88.7,75,CHARTER SCHOOL DISTRICTS,M18,0,1,0
184907,ALEDO ISD,1,13.9,1.5,45,12.1,92,MAJOR SUBURBAN,M56,1,0,0
123910,BEAUMONT ISD,1,24.3,59.8,419,79.1,69,OTHER CENTRAL CITY,M41,0,1,0
114901,BIG SPRING ISD,1,65.6,5.9,115,69.9,64,INDEPENDENT TOWN,M37,0,1,0
160901,BRADY ISD,1,45.9,1.4,27,67.3,88,NON-METROPOLITAN STABLE,M43,0,1,0
20905,BRAZOSPORT ISD,1,55.9,7.1,400,54,74,OTHER CENTRAL CITY,M14,1,0,0
15830,BROOKS ACADEMY OF SCIENCE AND ENGI,1,82.9,4.5,0,69.1,67,CHARTER SCHOOL DISTRICTS,M7,0,1,0
166907,BUCKHOLTS ISD,1,57.2,0,1,71,77,RURAL,M48,1,0,0
176901,BURKEVILLE ISD,1,0.4,28.4,7,94.9,79,RURAL,M52,0,1,0
71907,CANUTILLO ISD,1,94,0.8,81,66.2,91,MAJOR SUBURBAN,M24,0,0,0
46902,COMAL ISD,1,39.2,2.1,329,29.2,89,MAJOR SUBURBAN,M17,1,0,0
178904,CORPUS CHRISTI ISD,1,79.5,3.8,960,77,78,OTHER CENTRAL CITY,M54,1,0,0
254901,CRYSTAL CITY ISD,1,98.2,0.6,26,79.8,71,NON-METROPOLITAN STABLE,M71,1,0,0
57905,DALLAS ISD,1,69.6,22.5,1843,86.7,81,MAJOR URBAN,M19,1,0,0
115903,DELL CITY ISD,1,59.4,0,0,100,61,RURAL,M39,0,1,0
82902,DILLEY ISD,1,89,0.3,22,73.7,70,NON-METROPOLITAN STABLE,M28,0,1,0
108902,DONNA ISD,1,99.7,0.1,316,93.8,77,OTHER CENTRAL CITY SUBURBAN,M35,0,1,0
68901,ECTOR COUNTY ISD,1,75.5,3.9,555,51,67,OTHER CENTRAL CITY,M22,0,1,0
15905,EDGEWOOD ISD,1,97.4,1.5,203,93.2,63,MAJOR SUBURBAN,M9,1,0,0
71902,EL PASO ISD,1,83.6,3.5,1049,69.9,86,MAJOR URBAN,M23,1,0,0
220905,FORT WORTH ISD,1,62.4,22.7,674,77.7,75,MAJOR URBAN,M64,1,0,0
84902,GALVESTON ISD,1,45,24.1,230,70.6,82,OTHER CENTRAL CITY,M29,1,0,0
15904,HARLANDALE ISD,1,97.8,0.3,410,87.3,76,MAJOR SUBURBAN,M8,1,0,0
198905,HEARNE ISD,1,40.3,48.6,23,95.9,53,OTHER CENTRAL CITY SUBURBAN,M58,1,0,0
101912,HOUSTON ISD,1,61.7,24,1996,75,84,MAJOR URBAN,M31,1,0,0
220916,HURST-EULESS-BEDFORD ISD,1,30.1,19.2,226,52.6,90,MAJOR SUBURBAN,M66,1,0,0
108807,IDEA PUBLIC SCHOOLS,1,91.7,3.6,0,87.8,89,CHARTER SCHOOL DISTRICTS,M34,0,1,0
186903,IRAAN-SHEFFIELD ISD,1,62.5,3.6,4,53.4,88,RURAL,M57,1,0,0
